# LCCS to BATS cross walking PFT lookup table
LCCS Class|6|5|3|4|16|17|2|1|10|7|11|8|9|14|12|13|15|18|19|20
0||||||||||||100||||||||
10|||||||10|90||||||||||||
11|||||||10|90||||||||||||
12||||||70||30||||||||||||
20|||||||10|90||||||||||||
30|10|15|||10|5|10|50||||||||||||
40|7.5|7.5|||20|15|30|20||||||||||||
50|90||||5|5||||||||||||||
60||70||||5|10|||||15||||||||
61||70||||5|15|||||10||||||||
62||25||||5|55|||||15||||||||
70|||85||5|5|5|||||||||||||
71|||85||5|5|5|||||||||||||
72|||60||15|0|25|||||0||||||||
80||||75|5|10|10|||||||||||||
81||||70|5|10|15|||||||||||||
82||||35|0|25|30|||||10||||||||
90||20|50|10|10|5|5|||||0||||||||
100|10|10|5|15|10|10|40|||||||||||||
110|5|10|5||10|10|60|||||||||||||
120|||||0|65|15|||||20||||||||
121|||||70||30|||||0||||||||
122||||||70|30|||||0||||||||
130|||||||100|||||0||||||||
140|||||||0|||||0|100|||||||
150|0|0|0||0|25|25|||||50||||||||
151||10|10|0|||30|||||50||||||||
152|||||10|10|30|||||50||||||||
153|||||||50|||||50||||||||
160|37.5|37.5|||||25|||||||0||||||
170|75||||25|||||||||0||||||
180||0|10||2|3|10|||||||0||75||||
190||2.5|2.5||||20|||||75||0||||||
200||||||||||||100||||||||
201||||||||||||100||||||||
202|||||||||||0|100||||||||
210||||||||||||||0|||100|||
220|||||||||||||||100|||||
